Start date,Description,Item description,Planning,Actual,Unit
1/6/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,220.00000000","1,220.00000000",Nos
1/6/2024,Kerbstone,Kerbstone 60x35x15 15ch,"1,025.00000000","1,025.00000000",Nos
1/6/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,260.00000000","1,260.00000000",Nos
1/6/2024,Plant-01 Day Shift,Rectangle 60x30/6cm/Grey/Single Mix,"2,009.88000000","2,009.88000000",M2
1/6/2024,Plant-01 Night Shift,Square 10x10/6cm/Grey/Single Mix,"1,741.50000000","1,741.50000000",M2
1/6/2024,Plant-02 Day Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,611.60000000","1,611.60000000",M2
1/6/2024,Plant-02 Night Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,692.00000000","1,692.00000000",M2
1/6/2024,TopWerk,Rectangle 60x30/6cm/White/ShotBlast-Curl,363.00000000,319.00000000,M2
1/6/2024,Plant-01 Day Shift,Square 10x10/6cm/Grey/Single Mix,"1,333.80000000","1,333.80000000",M2
1/6/2024,Plant-01 Day Shift,Rectangle 60x30/6cm/Grey/Single Mix,349.92000000,349.92000000,M2
1/6/2024,Plant-01 Night Shift,Rectangle 60x30/6cm/Grey/Single Mix,"1,107.00000000","1,107.00000000",M2
1/6/2024,Plant-02 Day Shift,Rectangle 60x30/8cm/Grey,"1,674.00000000","1,674.00000000",M2
1/6/2024,Plant-02 Night Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,704.00000000","1,704.00000000",M2
1/8/2024,Kerbstone,Kerbstone 60x38x20 20ch,820.00000000,820.00000000,Nos
1/8/2024,Kerbstone,Kerbstone 91.5x25x10 Flush,810.00000000,810.00000000,Nos
1/8/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,080.00000000","1,080.00000000",Nos
1/8/2024,Kerbstone,Kerbstone 60x35x15 15ch,"1,040.00000000","1,040.00000000",Nos
1/8/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,055.00000000","1,055.00000000",Nos
1/8/2024,Plant-01 Day Shift,Rectangle 60x30/6cm/Grey/Single Mix,"1,080.00000000","1,080.00000000",M2
1/8/2024,Plant-01 Night Shift,Rectangle 60x30/6cm/Grey/Single Mix,"1,257.12000000","1,257.12000000",M2
1/8/2024,Plant-01 Night Shift,Uni Block/6cm/Grey/Single Mix,974.59000000,974.59000000,M2
1/8/2024,Plant-02 Day Shift,Hexagon/8cm/Grey,515.52000000,515.52000000,M2
1/8/2024,Plant-02 Night Shift,Hexagon/8cm/Grey,844.80000000,844.80000000,M2
1/8/2024,Plant-02 Night Shift,Rectangle 20x10/8cm/Black,312.00000000,312.00000000,M2
1/8/2024,Plant-03 Night Shift,Rectangle 20x10/8cm/Dark Grey/Single Mix,"1,812.00000000","1,812.00000000",M2
1/8/2024,Plant-03 Day Shift,Square 20x20/6cm/Silver White/Single Mix,168.00000000,168.00000000,M2
1/8/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Silver White/Single Mix,48.00000000,48.00000000,M2
1/8/2024,Plant-03 Day Shift,Rectangle 20x10/6cm/Silver White/Single Mix,578.40000000,578.40000000,M2
1/8/2024,Plant-03 Day Shift,Rectangle 20x10/6cm/Silver Grey/Single Mix,114.00000000,114.00000000,M2
1/8/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Silver Grey/Single Mix,223.20000000,223.20000000,M2
1/8/2024,Plant-03 Day Shift,Square 20x20/6cm/Silver Grey/Single Mix,109.20000000,109.20000000,M2
1/9/2024,Kerbstone,Kerbstone 60x38x20 20ch,730.00000000,730.00000000,Nos
1/9/2024,Kerbstone,Kerbstone 91.5x25x10 Flush,320.00000000,320.00000000,Nos
1/9/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,050.00000000","1,050.00000000",Nos
1/9/2024,Kerbstone,Kerbstone 60x35x15 15ch,"1,090.00000000","1,090.00000000",Nos
1/9/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,265.00000000","1,265.00000000",Nos
1/9/2024,Plant-01 Day Shift,Uni Block/8cm/Grey/Single Mix,"2,009.09000000","2,009.09000000",M2
1/9/2024,Plant-01 Night Shift,Uni Block/8cm/Grey/Single Mix,"1,979.14000000","1,979.14000000",M2
1/9/2024,Plant-02 Day Shift,Rectangle 20x10/8cm/Black,"1,152.00000000","1,152.00000000",M2
1/9/2024,Plant-02 Night Shift,Rectangle 20x10/8cm/Black,"1,104.00000000","1,104.00000000",M2
1/9/2024,Plant-02 Night Shift,Rectangle 40x20/6cm/Dark Grey,624.00000000,624.00000000,M2
1/9/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Dark Grey/Single Mix,"1,910.40000000","1,910.40000000",M2
1/9/2024,Plant-03 Night Shift,Rectangle 20x10/8cm/Charcoal Black/Single Mix,"1,314.00000000","1,314.00000000",M2
1/10/2024,Kerbstone,Kerbstone 60x38x20 20ch,975.00000000,975.00000000,Nos
1/10/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,670.00000000,670.00000000,Nos
1/10/2024,Kerbstone,Kerbstone 60x30x10 B/N,850.00000000,850.00000000,Nos
1/10/2024,Kerbstone,Kerbstone 60x35x15 15ch,"1,060.00000000","1,060.00000000",Nos
1/10/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,235.00000000","1,235.00000000",Nos
1/10/2024,Plant-01 Day Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,970.40000000","1,970.40000000",M2
1/10/2024,Plant-01 Night Shift,Rectangle 20x10/8cm/Grey/Single Mix,"2,000.40000000","2,000.40000000",M2
1/10/2024,Plant-02 Day Shift,Rectangle 40x20/6cm/Dark Grey,906.00000000,906.00000000,M2
1/10/2024,Plant-02 Day Shift,Rectangle 40x20/8cm/Dark Grey,457.20000000,457.20000000,M2
1/10/2024,Plant-02 Day Shift,Rectangle 20x10/6cm/Tan,222.00000000,222.00000000,M2
1/10/2024,Plant-02 Day Shift,Square 20x20/6cm/Tan,96.00000000,96.00000000,M2
1/10/2024,Plant-02 Night Shift,Square 20x20/6cm/Tan,84.00000000,84.00000000,M2
1/10/2024,Plant-02 Night Shift,Rectangle 40x20/8cm/Dark Grey,600.00000000,600.00000000,M2
1/10/2024,Plant-02 Night Shift,Square 30x30/8cm/Dark Grey,280.80000000,280.80000000,M2
1/10/2024,Plant-02 Night Shift,Marbella Trapez/6cm/Black,270.00000000,270.00000000,M2
1/10/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Charcoal Black/Single Mix,282.00000000,282.00000000,M2
1/10/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Dark Grey/Single Mix,"1,440.00000000","1,440.00000000",M2
1/10/2024,Plant-03 Night Shift,Rectangle 20x10/8cm/Black/Single Mix,"1,675.20000000","1,675.20000000",M2
1/10/2024,TopWerk,Square 10x10/8cm/Black/ShotBlast-Curl,24.00000000,23.00000000,M2
1/11/2024,Kerbstone,Kerbstone 60x38x20 20ch,490.00000000,490.00000000,Nos
